TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Mellow,Concentration,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,PPG_Ambient,PPG_IR,PPG_Red,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2023-03-06 12:03:39.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-C3A8
2023-03-06 12:03:39.018,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,828.022,821.1722,575.78754,825.6044,775.64105,0.0,0.0,0.09576416015625,0.1361083984375,1.00079345703125,4.074859619140625,-5.360870361328125,0.276641845703125,440805.8608058608,7.924996336996336E7,1.586981684981685E7,118.1483,1,2.0,1.0,2.0,2.0,100.00
2023-03-06 12:03:39.529,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,902.5641,844.1392,1258.7546,1058.0952,1002.0879,0.0,0.0,0.1148681640625,0.15399169921875,0.9932861328125,9.2413330078125,2.833709716796875,-2.998199462890625,439194.13919413916,7.895018315018314E7,1.5963296703296702E7,114.49454,1,2.0,1.0,2.0,2.0,100.00
2023-03-06 12:03:39.813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:40.037,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,911.02563,752.27106,353.7729,1624.6154,1624.2124,0.0,0.0,0.00286865234375,0.1610107421875,0.97393798828125,-5.944061279296875,-10.893707275390625,4.05242919921875,443223.44322344323,7.866490842490843E7,1.7082637362637363E7,112.94174,1,2.0,1.0,2.0,2.0,100.00
2023-03-06 12:03:40.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:40.146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-03-06 12:03:40.545,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,1141.9048,688.20514,1004.5055,0.0,1624.2124,0.0,0.0,0.083984375,0.11767578125,0.99176025390625,3.7384033203125,1.86920166015625,-4.015045166015625,447252.74725274724,7.780102564102563E7,1.6906959706959706E7,112.94174,1,2.0,1.0,2.0,2.0,100.00
2023-03-06 12:03:41.053,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,922.71063,728.0952,317.91208,1625.0183,1242.2344,0.0,0.0,0.07427978515625,0.1273193359375,1.03204345703125,2.28790283203125,-3.386993408203125,-3.132781982421875,447252.74725274724,7.970849816849817E7,1.689003663003663E7,112.36901,1,2.0,1.0,4.0,4.0,100.00
2023-03-06 12:03:41.117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:41.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:41.383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-03-06 12:03:41.566,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,1081.4652,778.86444,713.5897,1624.6154,1175.751,0.0,0.0,0.0491943359375,0.13995361328125,1.0040283203125,5.24871826171875,-3.491668701171875,-1.966400146484375,446446.88644688646,7.987611721611722E7,1.7175311355311356E7,106.68876,1,2.0,1.0,4.0,4.0,100.00
2023-03-06 12:03:41.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:41.828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:42.069,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,321.53845,790.14655,242.96703,0.0,0.0,0.0,0.0,0.03692626953125,0.15936279296875,1.00555419921875,3.566436767578125,-4.32159423828125,-0.545806884765625,448864.46886446886,7.967223443223444E7,1.7696703296703298E7,105.20833,1,2.0,1.0,4.0,4.0,95.00
2023-03-06 12:03:42.260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:42.575,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,827.2161,770.80585,556.04395,1625.0183,1624.2124,0.0,0.0,0.18267822265625,0.10015869140625,1.135498046875,-12.553558349609375,-17.51068115234375,-2.639312744140625,449670.32967032964,7.91589010989011E7,1.7695091575091574E7,106.84562,1,2.0,1.0,4.0,4.0,95.00
2023-03-06 12:03:42.593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-03-06 12:03:42.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:43.060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:43.076,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,1226.9231,803.8461,1036.337,1624.6154,1624.2124,0.0,0.0,0.09027099609375,0.162841796875,0.9888916015625,4.867401123046875,-0.8074951171875,2.908477783203125,430329.6703296703,7.996153846153846E7,1.797069597069597E7,108.513374,1,4.0,1.0,4.0,4.0,95.00
2023-03-06 12:03:43.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:43.576,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,1624.2124,837.28937,767.98535,436.77655,13.296703,0.0,0.0,0.06402587890625,0.14447021484375,0.9771728515625,1.054229736328125,-5.15899658203125,-0.381317138671875,439194.13919413916,7.939824175824176E7,1.7927179487179488E7,108.513374,1,2.0,1.0,4.0,2.0,95.00
2023-03-06 12:03:43.812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:44.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-03-06 12:03:44.086,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,0.0,803.8461,209.5238,939.2308,716.0073,0.0,0.0,0.08673095703125,0.15826416015625,0.9891357421875,4.65057373046875,-2.1533203125,-1.308441162109375,434358.9743589744,7.980358974358974E7,1.7634652014652014E7,108.513374,1,4.0,1.0,2.0,4.0,95.00
2023-03-06 12:03:44.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:44.593,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,1624.2124,761.13556,672.0879,1571.0256,1479.9634,0.0,0.0,0.10546875,0.1636962890625,0.9835205078125,4.987030029296875,-5.18890380859375,1.876678466796875,434358.9743589744,7.969238095238096E7,1.7422710622710623E7,108.513374,1,4.0,1.0,4.0,4.0,95.00
2023-03-06 12:03:44.878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:45.104,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,743.4066,806.6667,113.22344,89.04762,366.66666,0.0,0.0,0.08233642578125,0.15869140625,0.98883056640625,6.542205810546875,-2.998199462890625,-1.8841552734375,432747.25274725276,8.010336996336997E7,1.7294578754578754E7,108.513374,1,4.0,1.0,4.0,4.0,95.00
2023-03-06 12:03:45.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:45.609,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,1447.7289,815.12823,1247.8755,1012.96704,810.696,0.0,0.0,0.09112548828125,0.22686767578125,0.97796630859375,7.237548828125,1.114044189453125,3.282318115234375,430329.6703296703,8.01662271062271E7,1.7179340659340657E7,108.513374,1,4.0,1.0,4.0,4.0,95.00
2023-03-06 12:03:45.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:45.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:46.120,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,1348.608,757.9121,325.16483,1145.9341,991.2088,0.0,0.0,0.1119384765625,0.17193603515625,0.9969482421875,2.160797119140625,-5.301055908203125,0.590667724609375,431941.3919413919,7.973992673992674E7,1.7174505494505495E7,108.513374,1,4.0,1.0,4.0,4.0,95.00
2023-03-06 12:03:46.629,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,0.0,792.96704,477.87546,610.0366,538.71796,0.0,0.0,0.12249755859375,0.1444091796875,0.9599609375,-0.777587890625,-3.715972900390625,-1.57012939453125,434358.9743589744,7.897113553113553E7,1.7283296703296702E7,108.513374,1,4.0,1.0,4.0,2.0,95.00
2023-03-06 12:03:46.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:46.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-03-06 12:03:47.142,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,394.06595,813.91943,1141.5018,351.35532,269.1575,0.0,0.0,0.128662109375,0.181884765625,0.9912109375,1.36077880859375,-9.45068359375,3.102874755859375,430329.6703296703,7.9327326007326E7,1.689003663003663E7,108.513374,1,4.0,1.0,4.0,4.0,95.00
2023-03-06 12:03:47.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:47.545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:47.647,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,1624.2124,792.5641,886.04395,1210.403,1176.9597,0.0,0.0,0.12164306640625,0.18963623046875,0.97796630859375,6.59454345703125,-5.263671875,5.7122802734375,430329.6703296703,7.94425641025641E7,1.6711941391941391E7,108.513374,1,4.0,1.0,4.0,4.0,95.00
2023-03-06 12:03:47.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:48.161,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,0.0,820.7692,1162.8572,860.2564,759.5238,0.0,0.0,0.11248779296875,0.18780517578125,1.01397705078125,7.768402099609375,-5.42816162109375,0.441131591796875,428717.9487179487,7.951428571428572E7,1.6577362637362637E7,108.513374,1,4.0,1.0,4.0,2.0,95.00
2023-03-06 12:03:48.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:48.676,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,0.0,853.8095,720.0366,1058.0952,690.2198,0.0,0.0,0.114990234375,0.1859130859375,0.9864501953125,1.876678466796875,-1.248626708984375,-1.757049560546875,428717.9487179487,7.979794871794872E7,1.6678901098901099E7,108.513374,1,4.0,1.0,4.0,4.0,95.00
2023-03-06 12:03:48.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:49.186,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,1092.7472,794.9817,164.3956,700.293,846.1539,0.0,0.0,0.07464599609375,0.252197265625,1.05560302734375,1.31591796875,-5.465545654296875,0.022430419921875,430329.6703296703,8.012835164835164E7,1.672E7,108.513374,1,4.0,1.0,4.0,2.0,95.00
2023-03-06 12:03:49.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:49.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:49.693,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,190.98901,827.2161,552.8205,898.1319,493.1868,0.0,0.0,0.11444091796875,0.17230224609375,0.98834228515625,1.562652587890625,-3.431854248046875,-3.4991455078125,427912.0879120879,7.996637362637362E7,1.6796556776556775E7,108.513374,1,4.0,1.0,4.0,4.0,95.00
2023-03-06 12:03:49.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-06 12:03:50.202,1.3679669,1.1884316,0.0,1.3929205,1.2985151,1.3620696,0.0,1.7764658,1.1648422,1.0595881,0.0,1.4391536,0.84040475,0.81217915,0.0,1.2559749,0.5354779,0.9179937,0.0,0.34254095,1624.2124,880.0,1478.3517,1313.1501,1151.1721,0.0,0.0,0.075439453125,0.25860595703125,1.01251220703125,9.503021240234375,-2.1533203125,3.15521240234375,427106.2271062271,8.009369963369963E7,1.706249084249084E7,112.097206,1,4.0,1.0,4.0,4.0,95.00
2023-03-06 12:03:50.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-03-06 12:03:50.594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2023-03-06 12:03:50.695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
