TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Mellow,Concentration,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,PPG_Ambient,PPG_IR,PPG_Red,Heart_Rate,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2023-03-16 12:02:47.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-C3A8
2023-03-16 12:02:47.535,1.0108198,0.6363764,0.70952845,1.0671527,0.9871267,0.38656163,0.38515687,0.79021305,1.5300051,0.72331226,0.71935076,1.1037194,0.68419975,0.15936178,0.17909195,0.8676874,0.10180618,-0.38537183,-0.31109932,0.0746763,826.8132,813.91943,765.16486,871.9414,748.6447,0.0,0.0,0.15771484375,0.1231689453125,0.990234375,3.312225341796875,-5.5029296875,1.7645263671875,2438534.7985347984,8.091970695970696E7,1.6058388278388279E7,97.13328,1,1.0,1.0,1.0,1.0,60.00
2023-03-16 12:02:48.050,0.71536064,0.32383585,0.92313945,0.90726835,1.072248,0.15948032,0.4590937,1.0244408,1.4817246,0.5219086,0.8234154,1.0117544,0.5633413,0.2987427,0.20827012,0.7231035,0.041402623,-0.21616319,-0.30572852,0.09735873,835.6777,808.68134,770.40295,875.16486,817.5458,0.0,0.0,0.18963623046875,0.1221923828125,0.99188232421875,4.388885498046875,-6.759033203125,1.248626708984375,2417582.4175824174,8.108813186813186E7,1.600197802197802E7,97.13328,1,1.0,1.0,1.0,1.0,55.00
2023-03-16 12:02:48.586,0.85484874,0.2717728,1.0120343,0.9840888,1.1526266,0.39121026,0.4588122,1.0367624,1.4817246,0.6278894,0.8168272,1.0117544,0.5933016,0.32608062,0.25424445,0.6935377,0.1139126,-0.093514405,-0.26213175,0.1602949,809.0842,819.15753,788.1319,787.72894,718.8278,0.0,0.0,0.20404052734375,0.1253662109375,0.986083984375,3.850555419921875,-5.75714111328125,1.457977294921875,2413553.1135531133,8.10196336996337E7,1.5998754578754578E7,97.13328,1,1.0,1.0,1.0,1.0,55.00
2023-03-16 12:02:48.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-16 12:02:49.108,1.092404,0.056652848,1.037199,1.1122857,1.2123449,0.45562452,0.59528786,1.0949619,1.46512,0.5649048,0.80893755,0.89701265,0.63890785,0.3257558,0.32711333,0.7478938,0.1883183,-0.055002686,-0.22627126,0.24273038,802.23444,813.5165,737.76556,822.381,639.45056,0.0,0.0,0.21881103515625,0.1158447265625,0.98504638671875,3.162689208984375,-6.38519287109375,1.15142822265625,2408717.9487179485,8.122109890109889E7,1.5956849816849817E7,96.777664,1,1.0,1.0,1.0,1.0,55.00
2023-03-16 12:02:49.615,1.5919265,0.5862324,1.037199,1.0561252,1.3549742,0.64655346,0.59528786,0.7811564,1.3793993,0.77408177,0.80893755,0.3541977,0.7471909,0.3212266,0.32711333,0.7058279,0.17381613,0.013518317,-0.22627126,0.2984138,826.0073,828.022,726.8865,817.1429,1061.3187,0.0,0.0,0.2640380859375,0.1136474609375,0.97637939453125,-1.60003662109375,-4.844970703125,4.0374755859375,2378095.238095238,8.191494505494505E7,1.6025347985347984E7,95.672035,1,1.0,1.0,1.0,1.0,55.00
2023-03-16 12:02:50.150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Marker/2
2023-03-16 12:02:50.151,1.7425785,0.69480646,1.037199,1.0561252,1.5037136,0.6041613,0.59528786,0.7811564,1.6512933,0.9269818,0.80893755,0.3541977,0.84807134,0.34921068,0.32711333,0.7058279,0.04246336,-0.02099857,-0.22627126,0.2984138,784.90845,823.1868,761.53845,737.3626,712.7839,0.0,0.0,0.24066162109375,0.098876953125,0.98138427734375,5.061798095703125,-3.357086181640625,0.59814453125,2456263.736263736,8.127992673992674E7,1.5952014652014652E7,95.458595,1,1.0,1.0,1.0,1.0,55.00
2023-03-16 12:02:50.609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2023-03-16 12:02:50.670,1.6553838,0.7518534,1.037199,1.0561252,1.3906584,0.58596456,0.59528786,0.7811564,1.6768318,0.91688013,0.80893755,0.3541977,0.9372283,0.29647884,0.32711333,0.7058279,-0.0032192895,-0.07133874,-0.22627126,0.2984138,707.5458,809.4872,751.8681,691.02563,652.74725,0.0,0.0,0.260009765625,0.09271240234375,0.97406005859375,0.007476806640625,-3.529052734375,11.297454833984375,2573113.553113553,8.276996336996336E7,1.6037435897435896E7,95.458595,1,1.0,1.0,1.0,1.0,55.00
